e,conjunção,i
es·ca·lar,verbo,is.ka.lˈa
es·ca·lar,"nome masculino",is.ka.lˈaɾ
es·ca·la·vra·do,adjetivo,is.ka.la.vɾˈa.dʊ
es·ca·la·vrar,verbo,is.ka.la.vɾˈa
es·cal·da,"nome feminino",is.kˈaw.də
es·cal·da·do,adjetivo,is.kaw.dˈa.dʊ
es·cal·da·do,"nome masculino",is.kaw.dˈa.dʊ
es·cal·dan·te,adjetivo,is.kaw.dˈə̃.tʃi
es·cal·dão,"nome masculino",is.kaw.dˈə̃w
es·cal·dar,verbo,is.kaw.dˈa
es·ca·lei·ra,"nome feminino",is.ka.lˈej.ɾə
es·ca·le·no,adjetivo,is.ka.lˈe.nʊ
es·ca·ler,"nome masculino",is.ka.lˈɛɾ
es·cal·fa·do,adjetivo,is.kaw.fˈa.dʊ
es·cal·far,verbo,is.kaw.fˈa
es·cal·fe·ta,"nome feminino",is.kaw.fˈe.tə
es·ca·lo,"nome masculino",is.kˈa.lʊ
es·ca·lo·na·do,adjetivo,is.ka.lo.nˈa.dʊ
es·ca·lo·na·men·to,"nome masculino",is.ka.lo.na.mˈẽj.tʊ
es·ca·lo·nar,verbo,is.ka.lo.nˈa
es·ca·lo·pe,"nome masculino",is.ka.lˈɔ.pi
es·cal·par,verbo,is.kaw.pˈa
es·cal·pe,"nome masculino",is.kˈaw.pi
es·cal·pe·lar,verbo,is.kaw.pe.lˈa
es·cal·pe·li·zar,verbo,is.kaw.pe.li.zˈa
es·cal·pe·lo,"nome masculino",is.kaw.pˈe.lʊ
es·cal·va·do,adjetivo,is.kaw.vˈa.dʊ
es·cal·va·do,"nome masculino",is.kaw.vˈa.dʊ
es·cal·var,verbo,is.kaw.vˈa
es·ca·ma,"nome feminino",is.kˈə.mə
es·ca·ma·do,"nome masculino",is.ka.mˈa.dʊ
es·ca·ma·do,adjetivo,is.ka.mˈa.dʊ
es·ca·mar,verbo,is.ka.mˈa
es·ca·mo·so,adjetivo,is.ka.mˈo.zʊ
es·ca·mo·te·ar,verbo,is.ka.mo.tʃi.ˈa
es·ca·mo·te·á·vel,adjetivo,is.ka.mo.tʃi.ˈa.vew
es·ca·mu·do,adjetivo,is.ka.mˈu.dʊ
es·can·ção,"nome masculino",is.kə̃.sˈə̃w
es·cân·ca·ra,"nome feminino",is.kˈə̃.ka.ɾə
es·can·ca·ra·do,adjetivo,is.kə̃.ka.ɾˈa.dʊ
es·can·ca·rar,verbo,is.kə̃.ka.ɾˈa
es·can·da·lei·ra,"nome feminino",is.kə̃.da.lˈej.ɾə
es·can·da·li·za·do,adjetivo,is.kə̃.da.li.zˈa.dʊ
es·can·da·li·zar,verbo,is.kə̃.da.li.zˈa
es·cân·da·lo,"nome masculino",is.kˈə̃.da.lʊ
es·can·da·lo·sa·men·te,advérbio,is.kə̃.da.lo.za.mˈẽj.tʃi
es·can·da·lo·so,adjetivo,is.kə̃.da.lˈo.zʊ
es·can·di·na·va,"nome feminino",is.kə̃.dʒi.nˈa.və
es·can·di·na·vo,adjetivo,is.kə̃.dʒi.nˈa.vʊ
es·can·di·na·vo,"nome masculino",is.kə̃.dʒi.nˈa.vʊ
es·can·dir,verbo,is.kə̃.dʒˈi
es·can·ga·lhar,verbo,is.kə̃.ga.ʎˈa
es·ca·nho·a·do,adjetivo,is.ka.ɲo.ˈa.dʊ
es·ca·nho·ar,verbo,is.ka.ɲo.ˈa
es·ca·ni·nhar,verbo,is.ka.ni.ɲˈa
es·ca·ni·nho,"nome masculino",is.ka.nˈi.ɲʊ
es·ca·no,"nome masculino",is.kˈə.nʊ
es·can·ti·lhão,"nome masculino",is.kə̃.tʃi.ʎˈə̃w
es·can·ze·la·da,"nome feminino",is.kə̃.ze.lˈa.də
es·can·ze·la·do,adjetivo,is.kə̃.ze.lˈa.dʊ
es·can·ze·la·do,"nome masculino",is.kə̃.ze.lˈa.dʊ
es·ca·pa·da,"nome feminino",is.ka.pˈa.də
es·ca·pa·de·la,"nome feminino",is.ka.pa.dˈɛ.lə
es·ca·pa·di·nha,"nome feminino",is.ka.pa.dʒˈi.ɲə
es·ca·par,verbo,is.ka.pˈa
es·ca·pa·ra·te,"nome masculino",is.ka.pa.ɾˈa.tʃi
"es·ca·pa·tó·ri· a","nome feminino",is.ka.pa.tˈɔ.ɾjə
es·ca·pa·to·ri·a·men·te,advérbio,is.ka.pa.tɔ.ɾja.mˈẽj.tʃi
"es·ca·pa·tó·ri· o",adjetivo,is.ka.pa.tˈɔ.ɾjʊ
"es·ca·pa·tó·ri· o","nome masculino",is.ka.pa.tˈɔ.ɾjʊ
es·ca·pe,"nome masculino",is.kˈa.pi
es·ca·pe,adjetivo,is.kˈa.pi
es·ca·pis·mo,"nome masculino",is.ka.pˈiz.mʊ
es·ca·pis·ta,adjetivo,is.ka.pˈis.tə
es·ca·po,"nome masculino",is.kˈa.pʊ
es·ca·po,adjetivo,is.kˈa.pʊ
"es·ca·pu·lá·ri· o","nome masculino",is.ka.pu.lˈa.ɾjʊ
es·ca·pu·lir,verbo,is.ka.pu.lˈi
es·ca·quei·ra·do,adjetivo,is.ka.kej.ɾˈa.dʊ
es·ca·quei·rar,verbo,is.ka.kej.ɾˈa
es·ca·ra,"nome feminino",is.kˈa.ɾə
es·ca·ra·fun·char,verbo,is.ka.ɾa.fũ.ʃˈa
es·ca·ra·mu·ça,"nome feminino",is.ka.ɾa.mˈu.sə
es·ca·ra·mu·çar,verbo,is.ka.ɾa.mu.sˈa
es·ca·ra·ve·lhar,verbo,is.ka.ɾa.ve.ʎˈa
es·ca·ra·ve·lho,"nome masculino",is.ka.ɾa.vˈe.ʎʊ
es·car·céu,"nome masculino",is.kaɾ.sˈɛw
es·car·du·çar,verbo,is.kaɾ.du.sˈa
es·ca·ri·fi·ca·ção,"nome feminino",is.ka.ɾi.fi.ka.sˈə̃w
es·car·la·te,adjetivo,is.kax.lˈa.tʃi
es·car·la·te,"nome masculino",is.kax.lˈa.tʃi
es·car·la·ti·na,"nome feminino",is.kax.la.tʃˈi.nə
es·car·ne·cer,verbo,is.kar.ne.sˈe
es·car·ni·nhar,verbo,is.kar.ni.ɲˈa
es·car·ni·nho,adjetivo,is.kar.nˈi.ɲʊ
"es·cár·ni· o","nome masculino",is.kˈar.njʊ
es·car·pa,"nome feminino",is.kˈaɾ.pə
es·car·pa·da,"nome feminino",is.kaɾ.pˈa.də
es·car·pa·do,adjetivo,is.kaɾ.pˈa.dʊ
es·car·par,verbo,is.kaɾ.pˈa
es·car·pim,"nome masculino",is.kaɾ.pˈiɲ
es·car·ra·dor,"nome masculino",is.ka.xa.dˈoɾ
es·car·ra·pa·cha·do,adjetivo,is.ka.xa.pa.ʃˈa.dʊ
es·car·ra·pa·char,verbo,is.ka.xa.pa.ʃˈa
es·car·rar,verbo,is.ka.xˈa
es·car·ro,"nome masculino",is.kˈa.xʊ
es·cas·sa,"nome feminino",is.kˈa.sə
es·cas·sa·men·te,advérbio,is.ka.sa.mˈẽj.tʃi
es·cas·se·ar,verbo,is.ka.si.ˈa
es·cas·sez,"nome feminino",is.ka.sˈes
es·cas·sís·si·mo,adjetivo,is.ka.sˈi.si.mʊ
es·cas·so,adjetivo,is.kˈa.sʊ
es·cas·so,"nome masculino",is.kˈa.sʊ
es·ca·te·lar,verbo,is.ka.te.lˈa
es·ca·to·lo·gi·a,"nome feminino",is.ka.to.lo.ʒˈi.jə
es·ca·to·ló·gi·co,adjetivo,is.ka.to.lˈɔ.ʒi.kʊ
es·ca·va,"nome feminino",is.kˈa.və
es·ca·va·ca·do,adjetivo,is.ka.va.kˈa.dʊ
es·ca·va·ção,"nome feminino",is.ka.va.sˈə̃w
es·ca·va·car,verbo,is.ka.va.kˈa
es·ca·va·dor,"nome masculino",is.ka.va.dˈoɾ
es·ca·va·dor,adjetivo,is.ka.va.dˈoɾ
es·ca·va·do·ra,"nome feminino",is.ka.va.dˈo.ɾə
es·ca·var,verbo,is.ka.vˈa
es·cla·re·ce·dor,adjetivo,is.kla.ɾe.se.dˈoɾ
es·cla·re·ce·dor,"nome masculino",is.kla.ɾe.se.dˈoɾ
es·cla·re·ce·do·ra,"nome feminino",is.kla.ɾe.se.dˈo.ɾə
es·cla·re·cer,verbo,is.kla.ɾe.sˈe
es·cla·re·ci·da·men·te,advérbio,is.kla.ɾe.si.da.mˈẽj.tʃi
es·cla·re·ci·do,adjetivo,is.kla.ɾe.sˈi.dʊ
es·cla·re·ci·men·to,"nome masculino",is.kla.ɾe.si.mˈẽj.tʊ
es·cla·va·gis·mo,"nome masculino",is.kla.va.ʒˈiz.mʊ
es·cla·va·gis·ta,"nome masculino","is.kla.va.ʒˈis.tə ou is.kla.va.ʒˈis.tə"
es·cla·va·gis·ta,adjetivo,is.kla.va.ʒˈis.tə
es·cla·vo,"nome masculino",is.klˈa.vʊ
es·cla·vo,adjetivo,is.klˈa.vʊ
es·cle·ro·der·mi·a,"nome feminino",is.kle.ɾo.deɾ.mˈi.jə
es·cle·ro·der·mo,adjetivo,is.kle.ɾo.dˈɛɾ.mʊ
es·cle·ro·sa·do,adjetivo,is.kle.ɾo.zˈa.dʊ
es·cle·ro·sa·men·to,"nome masculino",is.kle.ɾo.za.mˈẽj.tʊ
es·cle·ro·sar,verbo,is.kle.ɾo.zˈa
es·cle·ro·se,"nome feminino",is.kle.ɾˈɔ.zi
es·co·a,"nome feminino",is.kˈo.ə
es·co·a·da,"nome feminino",is.ko.ˈa.də
es·co·a·dou·ro,"nome masculino",is.ko.a.dˈo.ɾʊ
es·co·a·men·to,"nome masculino",is.ko.a.mˈẽj.tʊ
es·co·ar,verbo,is.ko.ˈa
es·co·cês,adjetivo,is.ko.sˈes
es·co·cês,"nome masculino",is.ko.sˈes
es·co·ce·sa,"nome feminino",is.ko.sˈe.zə
"es·có·ci· a","nome masculino","is.kˈɔ.sjə ou is.kˈɔ.sjə"
"es·có·ci· o",adjetivo,is.kˈɔ.sjʊ
es·col,"nome masculino",is.kˈɔw
es·co·la,"nome feminino",is.kˈɔ.lə
es·co·lar,adjetivo,is.ko.lˈaɾ
es·co·lar,"nome masculino",is.ko.lˈaɾ
es·co·lar,"nome feminino",is.ko.lˈaɾ
es·co·la·ri·da·de,"nome feminino",is.ko.la.ɾi.dˈa.dʒi
es·co·la·ri·za·ção,"nome feminino",is.ko.la.ɾi.za.sˈə̃w
es·co·la·ri·za·do,adjetivo,is.ko.la.ɾi.zˈa.dʊ
es·co·la·ri·zar,verbo,is.ko.la.ɾi.zˈa
es·co·lás·ti·ca,"nome feminino",is.ko.lˈas.tʃi.kə
es·co·las·ti·ca·men·te,advérbio,is.ko.las.tʃi.ka.mˈẽj.tʃi
es·co·lás·ti·co,"nome masculino",is.ko.lˈas.tʃi.kʊ
es·co·lás·ti·co,adjetivo,is.ko.lˈas.tʃi.kʊ
es·co·lha,"nome feminino",is.kˈo.ʎə
es·co·lher,verbo,is.ko.ʎˈe
es·co·lhi·da,"nome feminino",is.ko.ʎˈi.də
es·co·lhi·da·men·te,advérbio,is.ko.ʎi.da.mˈẽj.tʃi
es·co·lhi·do,adjetivo,is.ko.ʎˈi.dʊ
es·co·lhi·do,"nome masculino",is.ko.ʎˈi.dʊ
es·co·lho,"nome masculino",is.kˈo.ʎʊ
es·co·li·o·se,"nome feminino",is.ko.li.ˈɔ.zi
es·col·ta,"nome feminino",is.kˈɔw.tə
es·col·tar,verbo,is.kow.tˈa
es·com·brar,verbo,is.kõ.bɾˈa
es·com·brei·ra,"nome feminino",is.kõ.bɾˈej.ɾə
es·com·bros,"nome masculino",is.kˈõ.bɾʊs
es·con·de-es·con·de,"nome masculino",is.kˌõ.dʒi.is.kˈõ.dʒi
es·con·der,verbo,is.kõ.dˈe
es·con·de·ri·jo,"nome masculino",is.kõ.de.ɾˈi.ʒʊ
es·con·di·da·men·te,advérbio,is.kõ.dʒi.da.mˈẽj.tʃi
es·con·di·das,"nome feminino",is.kõ.dʒˈi.dəs
es·con·di·do,adjetivo,is.kõ.dʒˈi.dʊ
es·con·di·do,"nome masculino",is.kõ.dʒˈi.dʊ
es·con·ju·ra·ção,"nome feminino",is.kõ.ʒu.ɾa.sˈə̃w
es·con·ju·ra·do,adjetivo,is.kõ.ʒu.ɾˈa.dʊ
es·con·ju·rar,verbo,is.kõ.ʒu.ɾˈa
es·con·ju·ro,"nome masculino",is.kõ.ʒˈu.ɾʊ
es·con·sar,verbo,is.kõ.sˈa
es·con·so,"nome masculino",is.kˈõ.sʊ
es·con·so,adjetivo,is.kˈõ.sʊ
es·co·pe·ta,"nome feminino",is.ko.pˈe.tə
es·co·po,"nome masculino",is.kˈo.pʊ
es·co·po·la·mi·na,"nome feminino",is.kɔ.po.la.mˈi.nə
es·co·pro,"nome masculino",is.kˈo.pɾʊ
es·co·ra,"nome feminino",is.kˈɔ.ɾə
es·co·ra·men·to,"nome masculino",is.ko.ɾa.mˈẽj.tʊ
es·co·rar,verbo,is.ko.ɾˈa
es·cor·bu·to,"nome masculino",is.koɾ.bˈu.tʊ
es·cor·çar,verbo,is.koɾ.sˈa
es·cor·ço,"nome masculino",is.kˈoɾ.sʊ
"es·có·ri· a","nome feminino",is.kˈɔ.ɾjə
es·co·ri·a·ção,"nome feminino",is.ko.ɾja.sˈə̃w
es·co·ri·al,"nome masculino",is.ko.ɾjˈaw
es·co·ri·ar,verbo,is.ko.ɾjˈa
es·cor·pi·ão,"nome masculino",is.koɾ.pi.ˈə̃w
es·cor·ra·ça·do,adjetivo,is.ko.xa.sˈa.dʊ
es·cor·ra·çar,verbo,is.ko.xa.sˈa
es·cor·re·ga,"nome feminino",is.ko.xˈɛ.gə
es·cor·re·ga·de·la,"nome feminino",is.ko.xe.ga.dˈɛ.lə
es·cor·re·ga·di·o,adjetivo,is.ko.xe.ga.dʒˈi.ʊ
es·cor·re·ga·men·to,"nome masculino",is.ko.xe.ga.mˈẽj.tʊ
es·cor·re·gão,"nome masculino",is.ko.xe.gˈə̃w
es·cor·re·gar,verbo,is.ko.xe.gˈa
es·cor·rei·ta·men·te,advérbio,is.ko.xej.ta.mˈẽj.tʃi
es·cor·rei·to,adjetivo,is.ko.xˈej.tʊ
"es·cor·rên·ci· a","nome feminino",is.ko.xˈẽj.sjə
es·cor·rer,verbo,is.ko.xˈe
es·cor·ri·do,adjetivo,is.ko.xˈi.dʊ
es·cor·ri·men·to,"nome masculino",is.ko.xi.mˈẽj.tʊ
es·cor·va,"nome feminino",is.kˈɔɾ.və
es·cor·var,verbo,is.koɾ.vˈa
es·co·ta,"nome feminino",is.kˈɔ.tə
es·co·tei·ro,adjetivo,is.ko.tˈej.ɾʊ
es·co·tei·ro,"nome masculino",is.ko.tˈej.ɾʊ
es·co·ti·lha,"nome feminino",is.ko.tʃˈi.ʎə
es·co·tis·mo,"nome masculino",is.ko.tʃˈiz.mʊ
es·co·tis·ta,"nome masculino","is.ko.tʃˈis.tə ou is.ko.tʃˈis.tə"
es·co·tis·ta,adjetivo,is.ko.tʃˈis.tə
es·co·va,"nome feminino",is.kˈo.və
es·co·va·de·la,"nome feminino",is.ko.va.dˈɛ.lə
es·co·va·do,adjetivo,is.ko.vˈa.dʊ
es·co·va·gem,"nome feminino",is.ko.vˈa.ʒeɲ
es·co·var,verbo,is.ko.vˈa
es·co·vi·lhar,verbo,is.ko.vi.ʎˈa
es·co·vi·nha,"nome feminino",is.ko.vˈi.ɲə
es·cra·va,"nome masculino",is.kɾˈa.və
es·cra·va·tu·ra,"nome feminino",is.kɾa.va.tˈu.ɾə
es·cra·vi·dão,"nome masculino",is.kɾa.vi.dˈə̃w
es·cra·vis·mo,"nome masculino",is.kɾa.vˈiz.mʊ
es·cra·vi·za·ção,"nome feminino",is.kɾa.vi.za.sˈə̃w
es·cra·vi·zar,verbo,is.kɾa.vi.zˈa
es·cra·vo,adjetivo,is.kɾˈa.vʊ
es·cra·vo,"nome masculino",is.kɾˈa.vʊ
es·cre·ve·dei·ra,"nome feminino",is.kɾe.ve.dˈej.ɾə
es·cre·ve·dor,"nome masculino",is.kɾe.ve.dˈoɾ
es·cre·ve·dor,adjetivo,is.kɾe.ve.dˈoɾ
es·cre·ven·te,"nome masculino",is.kɾe.vˈẽj.tʃi
es·cre·ven·te,adjetivo,is.kɾe.vˈẽj.tʃi
es·cre·ven·te,"nome feminino",is.kɾe.vˈẽj.tʃi
es·cre·ver,verbo,is.kɾe.vˈe
es·cre·vi·nha·dor,adjetivo,is.kɾe.vi.ɲa.dˈoɾ
es·cre·vi·nha·dor,"nome masculino",is.kɾe.vi.ɲa.dˈoɾ
es·cre·vi·nhar,verbo,is.kɾe.vi.ɲˈa
es·cri·ba,"nome masculino",is.kɾˈi.bə
es·cri·ba,"nome feminino",is.kɾˈi.bə
"es·crí·ni· o","nome masculino",is.kɾˈi.njʊ
es·cri·ta,"nome feminino",is.kɾˈi.tə
es·cri·to,adjetivo,is.kɾˈi.tʊ
es·cri·to,"nome masculino",is.kɾˈi.tʊ
es·cri·tor,"nome masculino",is.kɾi.tˈoɾ
es·cri·to·ra,"nome feminino",is.kɾi.tˈo.ɾə
"es·cri·tó·ri· o","nome masculino",is.kɾi.tˈɔ.ɾjʊ
es·cri·tu·ra,"nome feminino",is.kɾi.tˈu.ɾə
es·cri·tu·ra·ção,"nome feminino",is.kɾi.tu.ɾa.sˈə̃w
es·cri·tu·rar,verbo,is.kɾi.tu.ɾˈa
"es·cri·tu·rá·ri· o","nome masculino",is.kɾi.tu.ɾˈa.ɾjʊ
es·cri·vã,"nome feminino",is.kɾi.vˈə̃
es·cri·va·ni·nha,"nome feminino",is.kɾi.va.nˈi.ɲə
es·cri·vão,"nome masculino",is.kɾi.vˈə̃w
es·cro·que,"nome masculino",is.kɾˈɔ.ki
es·cro·que·ri·a,"nome feminino",is.kɾɔ.ke.ɾˈi.jə
es·cro·to,"nome masculino",is.kɾˈo.tʊ
es·cro·to,adjetivo,is.kɾˈo.tʊ
es·cru·pu·li·zar,verbo,is.kɾu.pu.li.zˈa
es·crú·pu·lo,"nome masculino",is.kɾˈu.pu.lʊ
es·cru·pu·lo·sa,"nome feminino",is.kɾu.pu.lˈɔ.zə
es·cru·pu·lo·sa·men·te,advérbio,is.kɾu.pu.lo.za.mˈẽj.tʃi
es·cru·pu·lo·so,adjetivo,is.kɾu.pu.lˈo.zʊ
es·cru·pu·lo·so,"nome masculino",is.kɾu.pu.lˈo.zʊ
es·cru·ti·na·dor,adjetivo,is.kɾu.tʃi.na.dˈoɾ
es·cru·ti·na·dor,"nome masculino",is.kɾu.tʃi.na.dˈoɾ
es·cru·ti·na·do·ra,"nome feminino",is.kɾu.tʃi.na.dˈo.ɾə
es·cru·ti·nar,verbo,is.kɾu.tʃi.nˈa
"es·cru·tí·ni· o","nome masculino",is.kɾu.tʃˈi.njʊ
es·cu·dar,verbo,is.ku.dˈa
es·cu·dei·rar,verbo,is.ku.dej.ɾˈa
es·cu·dei·ro,"nome masculino",is.ku.dˈej.ɾʊ
es·cu·de·ri·a,"nome feminino",is.ku.de.ɾˈi.jə
es·cu·do,"nome masculino",is.kˈu.dʊ
"es·cu·lá·pi· o","nome masculino",is.ku.lˈa.pjʊ
es·cul·ca,"nome feminino",is.kˈuw.kə
es·cul·pi·do,adjetivo,is.kuw.pˈi.dʊ
es·cul·pir,verbo,is.kuw.pˈi
es·cul·tor,"nome masculino",is.kuw.tˈoɾ
es·cul·tó·ri·co,adjetivo,is.kuw.tˈɔ.ɾi.kʊ
es·cul·tu·ra,"nome feminino",is.kuw.tˈu.ɾə
es·cul·tu·ral,adjetivo,is.kuw.tu.ɾˈaw
es·cul·tu·ral·men·te,advérbio,is.kuw.tu.ɾaw.mˈẽj.tʃi
es·cul·tu·rar,verbo,is.kuw.tu.ɾˈa
es·cu·ma·lha,"nome feminino",is.ku.mˈa.ʎə
es·cu·na,"nome feminino",is.kˈu.nə
es·cu·ra·men·te,advérbio,is.ku.ɾa.mˈẽj.tʃi
es·cu·ras,"nome feminino",is.kˈu.ɾəs
es·cu·re·cer,verbo,is.ku.ɾe.sˈe
es·cu·re·cer,"nome masculino",is.ku.ɾe.sˈeɾ
es·cu·re·ci·men·to,"nome masculino",is.ku.ɾe.si.mˈẽj.tʊ
es·cu·ri·da·de,"nome feminino",is.ku.ɾi.dˈa.dʒi
es·cu·ri·dão,"nome feminino",is.ku.ɾi.dˈə̃w
es·cu·ro,adjetivo,is.kˈu.ɾʊ
es·cu·ro,"nome masculino",is.kˈu.ɾʊ
es·cu·sa,"nome feminino",is.kˈu.zə
es·cu·sa·da·men·te,advérbio,is.ku.za.da.mˈẽj.tʃi
es·cu·sa·do,adjetivo,is.ku.zˈa.dʊ
es·cu·sa·men·te,advérbio,is.ku.za.mˈẽj.tʃi
es·cu·sar,verbo,is.ku.zˈa
es·cu·so,adjetivo,is.kˈu.zʊ
es·cu·ta,"nome feminino",is.kˈu.tə
es·cu·ta,"nome masculino",is.kˈu.tə
es·cu·ta·dor,adjetivo,is.ku.ta.dˈoɾ
es·cu·ta·dor,"nome masculino",is.ku.ta.dˈoɾ
es·cu·tar,verbo,is.ku.tˈa
es·cu·tei·ra,"nome feminino",is.ku.tˈej.ɾə
es·cu·tei·ro,adjetivo,is.ku.tˈej.ɾʊ
es·cu·tei·ro,"nome masculino",is.ku.tˈej.ɾʊ
es·cu·tis·mo,"nome masculino",is.ku.tʃˈiz.mʊ
es·cu·tis·ta,"nome masculino","is.ku.tʃˈis.tə ou is.ku.tʃˈis.tə"
es·cu·tis·ta,adjetivo,is.ku.tʃˈis.tə
es·drú·xu·la,"nome feminino",iz.dɾˈu.ʃu.lə
es·dru·xu·la·men·te,advérbio,iz.dɾu.ʃu.la.mˈẽj.tʃi
es·drú·xu·lo,adjetivo,iz.dɾˈu.ʃu.lʊ
es·drú·xu·lo,"nome masculino",iz.dɾˈu.ʃu.lʊ
es·fa·ce·la·do,adjetivo,is.fa.se.lˈa.dʊ
es·fa·ce·la·men·to,"nome masculino",is.fa.se.la.mˈẽj.tʊ
es·fa·ce·lar,verbo,is.fa.se.lˈa
es·fai·ma·do,adjetivo,is.faj.mˈa.dʊ
es·fai·mar,verbo,is.faj.mˈa
es·fal·fa·do,adjetivo,is.faw.fˈa.dʊ
es·fal·far,verbo,is.faw.fˈa
es·fa·que·a·do,adjetivo,is.fa.ki.ˈa.dʊ
es·fa·que·a·men·to,"nome masculino",is.fa.ki.a.mˈẽj.tʊ
es·fa·que·ar,verbo,is.fa.ki.ˈa
es·fa·re·la·do,adjetivo,is.fa.ɾe.lˈa.dʊ
es·fa·re·la·men·to,"nome masculino",is.fa.ɾe.la.mˈẽj.tʊ
es·fa·re·lar,verbo,is.fa.ɾe.lˈa
es·far·ra·pa·da,"nome feminino",is.fa.xa.pˈa.də
es·far·ra·pa·do,adjetivo,is.fa.xa.pˈa.dʊ
es·far·ra·pa·do,"nome masculino",is.fa.xa.pˈa.dʊ
es·far·ra·par,verbo,is.fa.xa.pˈa
es·fe·noi·de,adjetivo,is.fe.nˈɔj.dʒi
es·fe·noi·de,"nome masculino",is.fe.nˈɔj.dʒi
es·fe·ra,"nome feminino",is.fˈɛ.ɾə
es·fe·ri·ca·men·te,advérbio,is.fɛ.ɾi.ka.mˈẽj.tʃi
es·fe·ri·ci·da·de,"nome feminino",is.fe.ɾi.si.dˈa.dʒi
es·fé·ri·co,adjetivo,is.fˈɛ.ɾi.kʊ
es·fé·ri·co,"nome masculino",is.fˈɛ.ɾi.kʊ
es·fe·ro·grá·fi·ca,"nome feminino",is.fe.ɾo.gɾˈa.fi.kə
es·fe·roi·de,adjetivo,is.fe.ɾˈɔj.dʒi
es·fe·roi·de,"nome masculino",is.fe.ɾˈɔj.dʒi
es·fe·ro·vi·te,"nome feminino",is.fɛ.ɾɔ.vˈi.tʃi
es·fé·ru·la,"nome feminino",is.fˈɛ.ɾu.lə
es·fi·a·da,"nome feminino",is.fjˈa.də
es·fi·a·do,adjetivo,is.fjˈa.dʊ
es·fi·a·par,verbo,is.fja.pˈa
es·fi·ar,verbo,is.fjˈa
es·fínc·ter,"nome masculino",is.fˈĩŋk.tɛɾ
es·fin·ge,"nome feminino",is.fˈĩ.ʒi
es·fin·gi·ca·men·te,advérbio,is.fĩ.ʒi.ka.mˈẽj.tʃi
es·fín·gi·co,adjetivo,is.fˈĩ.ʒi.kʊ
es·fo·la,"nome masculino",is.fˈɔ.lə
es·fo·la,"nome feminino",is.fˈɔ.lə
es·fo·la·de·la,"nome feminino",is.fo.la.dˈɛ.lə
es·fo·la·do,adjetivo,is.fo.lˈa.dʊ
es·fo·la·do,"nome masculino",is.fo.lˈa.dʊ
es·fo·la·men·to,"nome masculino",is.fo.la.mˈẽj.tʊ
es·fo·lar,verbo,is.fo.lˈa
es·fo·me·a·da,"nome feminino",is.fo.mi.ˈa.də
es·fo·me·a·do,adjetivo,is.fo.mi.ˈa.dʊ
es·fo·me·a·do,"nome masculino",is.fo.mi.ˈa.dʊ
es·fo·me·ar,verbo,is.fo.mi.ˈa
es·for·ça·da,"nome feminino",is.foɾ.sˈa.də
es·for·ça·da·men·te,advérbio,is.foɾ.sa.da.mˈẽj.tʃi
es·for·ça·do,adjetivo,is.foɾ.sˈa.dʊ
es·for·ça·do,"nome masculino",is.foɾ.sˈa.dʊ
es·for·çar,verbo,is.foɾ.sˈa
es·for·ço,"nome masculino",is.fˈoɾ.sʊ
es·fran·ga·lhar,verbo,is.fɾə̃.ga.ʎˈa
es·fre·ga,"nome feminino",is.fɾˈɛ.gə
es·fre·ga·ço,"nome masculino",is.fɾe.gˈa.sʊ
es·fre·ga·da,"nome feminino",is.fɾe.gˈa.də
es·fre·ga·do,adjetivo,is.fɾe.gˈa.dʊ
es·fre·ga·do,"nome masculino",is.fɾe.gˈa.dʊ
es·fre·gão,"nome masculino",is.fɾe.gˈə̃w
es·fre·gar,verbo,is.fɾe.gˈa
es·fre·go·na,"nome feminino",is.fɾe.gˈo.nə
es·fri·a·do,adjetivo,is.fɾjˈa.dʊ
es·fri·a·men·to,"nome masculino",is.fɾja.mˈẽj.tʊ
es·fri·ar,verbo,is.fɾjˈa
es·fu·ma·do,"nome masculino",is.fu.mˈa.dʊ
es·fu·ma·do,adjetivo,is.fu.mˈa.dʊ
es·fu·mar,verbo,is.fu.mˈa
es·fu·ma·rar,verbo,is.fu.ma.ɾˈa
es·fu·zi·an·te,adjetivo,is.fu.zjˈə̃.tʃi
es·fu·zi·an·te·men·te,advérbio,is.fu.zjə̃.te.mˈẽj.tʃi
es·ga·ça·do,adjetivo,iz.ga.sˈa.dʊ
es·ga·çar,verbo,iz.ga.sˈa
es·gal·ga·do,adjetivo,iz.gaw.gˈa.dʊ
es·gal·gar,verbo,iz.gaw.gˈa
es·ga·lha·do,adjetivo,iz.ga.ʎˈa.dʊ
es·ga·lhar,verbo,iz.ga.ʎˈa
es·ga·na,"nome feminino",iz.gˈə.nə
es·ga·nar,verbo,iz.ga.nˈa
es·ga·na·re·lo,"nome masculino",iz.ga.na.ɾˈɛ.lʊ
es·ga·ni·ça·da·men·te,advérbio,iz.ga.ni.sa.da.mˈẽj.tʃi
es·ga·ni·ça·do,adjetivo,iz.ga.ni.sˈa.dʊ
es·ga·ni·çar,verbo,iz.ga.ni.sˈa
es·gar,"nome masculino",iz.gˈaɾ
es·ga·ra·va·tar,verbo,iz.ga.ɾa.va.tˈa
es·gar·çar,verbo,iz.gaɾ.sˈa
es·ga·ze·a·do,adjetivo,iz.ga.zi.ˈa.dʊ
es·ga·ze·a·do,"nome masculino",iz.ga.zi.ˈa.dʊ
es·ga·ze·ar,verbo,iz.ga.zi.ˈa
es·go·ta·do,adjetivo,iz.go.tˈa.dʊ
